ENSMUST00000097833	Gm10568
NM_025730	Lrrk2
NM_207243	Muc19
NR_030687	Rn7sk
NM_011432	Snrpc
NM_175344	Ano6
NM_001177810	Rapgef3
NM_016781	Prkag1
NM_001024526	Larp4
NM_001163643	Map3k12
NM_009319	Tarbp2
NM_026055	Rpl39
NM_177123	Spef2
NM_176959	Fbxl7
NM_001081302	Trio
NM_027496	Ankrd33b
NM_011740	Ywhaz
NM_008049	Ftl2
NM_001081391	Csmd3
NM_032000	Trps1
NM_080635	Eif3h
NM_001168274	Gsdmc2
NM_028992	Gsdmc4
NM_009177	St3gal1
NM_020045	Nfu1
NM_177819	Fam135b
NM_153178	Eif2c2
NM_023587	Ptplb
BC150895	Gm628
NM_153053	Sf3b4
NM_172121	Zc3h3
ENSMUST00000019290	Cacng2
NM_028792	Josd1
NR_030675	D730005E14Rik
NM_013762	Rpl3
NM_011399	Slc25a17
NM_011482	Nhp2l1
NM_001163319	Tubgcp6
NM_001033275	Gxylt1
NM_008971	Twf1
NM_134086	Slc38a1
NM_175121	Slc38a2
BC003301	2310037I24Rik
NM_001033276	Mll2
NM_011654	Tuba1b
NM_013840	Uxt
ENSMUST00000096143	Atf7
NM_026468	Atp5g2
BC048502	BC048502
NM_146860	Olfr161
NM_029738	Cluap1
NM_145362	Alg1
NM_153123	Atf7ip2
NM_011955	Nubp1
NM_181860	Mkl2
NM_176833	Ppm1f
NM_023249	Ypel1
ENSMUST00000074116	LOC635992
NM_182636	Vwa5b2
NM_025462	Ece2
NM_027244	Ndufa11
NM_010318	Gng5
NM_145933	St6gal1
NM_178665	Lpp
NM_173379	Leprel1
NM_026202	Ccdc50
NM_175256	Heg1
NM_009855	Cd80
NM_019778	Zbtb20
NM_001030274	Ndufs5
NM_011034	Prdx1
NM_028610	Dppa4
NM_028615	Dppa2
NM_010581	Cd47
NM_001040397	Filip1l
NM_178751	Orai2
NM_019643	Fam60a
AK051166	2810055G20Rik
NM_010672	Krtap6-1
NM_007890	Dyrk1a
NM_019517	Bace2
ENSMUST00000100216	Crebbp
NM_025821	Carhsp1
NM_023585	Ube2v2
BC039993	2610318N02Rik
NM_009456	Ube2l3
NM_001005767	Parl
NM_009186	Tra2b
NM_008555	Masp1
NM_001128096	Atp13a3
NM_025800	Ppp1r2
NM_145932	Osta
NM_025587	Rps21
NM_026610	Ndufb4
NM_020260	Arhgap31
NM_016661	Ahcy
NM_001024622	Pcnp
NM_007990	Fau
NM_009770	Btg3
NM_001081068	Rnf160
NM_001159617	Pigp
NM_008907	Ppia
NM_146073	Zdhhc14
NM_001103181	Tulp4
NM_001083938	Rnaset2a
NM_001033442	Gm1604b
NM_011553	Tcp10b
NM_025789	Rsph3a
NR_002853	Airn
NM_001122977	Gm7168
NM_001039552	2210404J11Rik
ENSMUST00000067349	Gm9943
NM_145483	Zfp160
NM_001166497	3110052M02Rik
NM_001104578	Vmn2r113
NM_010947	Ntn3
NM_009070	Rnps1
NM_019988	Mlst8
NM_013931	Mapk8ip3
NM_028789	Unkl
NM_026676	0610007P22Rik
NM_177822	Mslnl
NM_015830	Solh
NM_001081656	Neurl1B
XM_985548	Syngap1
NM_007523	Bak1
ENSMUST00000122106	Ggnbp1
NM_001002895	AI413582
NM_025888	Kctd20
NM_013811	Dnahc8
NM_010479	Hspa1a
NM_013558	Hspa1l
NM_010390	H2-Q1
NM_134122	Nrm
NM_001034909	EG547347
NM_028474	3110082D06Rik
NM_001145920	Runx2
NM_146078	Ubr2
NM_026242	Mrfap1
NM_029296	1700001C19Rik
NM_177052	Kif6
NM_001031811	Kcnh8
NM_001037718	4932415M13Rik
NM_028381	Ccdc94
NM_001081653	Cntnap5c
NM_133236	Glcci1
NM_026497	Nudt12
NM_177278	L3mbtl4
ENSMUST00000003366	Dlgap1
NM_008228	Hdac1
NM_001081179	Heatr5b
NM_009994	Cyp1b1
NM_026053	Gemin6
NM_001171052	Mta3
NM_025868	Tmx2
NM_020252	Nrxn1
NM_024187	U2af1
NM_007991	Fbl
NM_010240	Ftl1
NR_027881	6530411M01Rik
NM_021881	Qk
NM_026310	Mrpl18
NM_001113533	Wtap
NM_011560	Tcte3
NM_013521	Fpr1
NM_001001491	Tpm4
NM_001104573	Vmn2r111
NM_026305	Tceb2
NM_009729	Atp6v0c
NR_033554	D330041H03Rik
NM_011665	Ube2i
NM_026506	Snrpg
BC030629	2900010M23Rik
NM_025963	Rps10
NM_025374	Glo1
NM_026057	Zfp422
NM_008997	Rab11b
NR_004051	Btnl5
NM_001177467	H2-t9
NM_146456	Olfr92
NM_001039137	Scoc
NM_025919	Rpl11
NM_028162	Tbc1d5
NM_027870	Armcx3
ENSMUST00000052092	Safb2
NM_001008973	Tmem232
NM_028887	Smchd1
NM_025381	Atp6v1f
NM_011406	Slc8a1
NM_007589	Calm2
NM_029402	Cul2
NM_025783	Vps24
NM_181070	Rab18
NM_153552	Thoc1
NM_001083628	Greb1l
NM_198609	Rsl24d1
NM_001039147	Morf4l1
NM_001081403	Klhl14
NM_009308	Syt4
NM_026165	Slc25a46
ENSMUST00000054984	Sft2d3
NM_016927	Pkd2l2
NM_019912	Ube2d2
NM_026404	Slc35a4
NM_029951	C330007P06Rik
NM_001163013	Ythdc2
NM_009681	Ap3s1
NM_023119	Eno1
NM_028447	Prrc1
NM_020600	Rps14
NM_001037294	Alpk2
NM_027556	Cep192
NM_029826	Hdhd2
NM_013666	St8sia5
NM_172834	Loxhd1
ENSMUST00000097510	Gm10526
NM_025861	Pqlc1
NR_028428	2610005L07Rik
NM_001081393	Armc4
NM_001081287	Mpp7
NM_016740	S100a11
NM_013504	Dsc1
NM_025592	Rpl35
NM_001161483	Nol4
NR_028061	Gm8615
NM_023311	Yipf5
NM_144545	Eif3j
ENSMUST00000084260	Pggt1b
NM_001039485	Fam38b
NM_001127177	Ptpn2
NM_001033341	Zfp407
ENSMUST00000070104	Socs6
AK081788	1700055N04Rik
NM_001177438	Aldh3b2
ENSMUST00000116571	Kdm2a
NM_133803	Dpp3
NM_008451	Klc2
AF129931	Sart1
NM_026169	Frmd8
NM_025605	2400001E08Rik
NM_020253	Nrxn2
NM_001166370	Trmt112
NM_008889	Ppp1r14b
NM_025526	Iscu
AK051045	Snhg1
NM_011842	Mta2
NM_011045	Pcna
NM_007999	Fen1
NM_001011850	Olfr1505
NM_173028	Vps13a
NM_181348	Prune2
NM_019437	Rfk
NM_008492	Ldhb
NM_010638	Klf9
NM_026520	Fam122a
NM_007808	Cycs
NM_009199	Slc1a1
NM_001081074	A1cf
NM_010799	Minpp1
NM_008960	Pten
NM_001114339	Pank1
NM_029508	Pcgf5
NM_134144	Cyp2c50
NM_026260	Tctn3
XM_994191	Cc2d2b
NM_033322	Lztfl1
BC150999	Fam178a
NM_198296	9130011E15Rik
NM_053100	Trim8
NM_033569	Cnnm2
NM_001164365	Nt5c2
NM_146100	Ina
NM_011053	Pdcd11
NM_010847	Mxi1
NM_029648	D19Ertd737e
ENSMUST00000044527	Tsga10ip
NM_020491	Sssca1
NM_007928	Mark2
NM_011504	Stxbp3a
NM_001025307	Stx3
NM_001011775	Olfr1419
ENSMUST00000087819	Olfr1429-ps1
NM_001178039	Gm10136
NM_172836	9930021J03Rik
NM_052835	Rpl10
NM_212450	Ctdspl2
NM_016861	Pdlim1
NM_001164311	Loxl4
NM_023211	Usmg5
NM_008018	Sh3pxd2a
BC107403	D19Ertd652e
NM_172429	Smndc1
ENSMUST00000099340	5830416P10Rik
NM_026532	Nutf2
BC086681	Zfp826
NM_026866	Disp1
NM_181399	Usp6nl
NR_024257	4930412O13Rik
NM_027748	Taf3
NM_023116	Cacnb2
NM_025356	Ube2d3
NM_007995	Fcna
NM_029862	5930434B04Rik
NM_015734	Col5a1
NM_001039087	Rapgef1
NM_207298	Cercam
NM_023871	Set
NM_013901	Slc39a1
BC056964	Taf1d
NM_178595	Ptrh1
ENSMUST00000065087	C130021I20Rik
NM_026422	Mrrf
NM_146622	Olfr360
NM_146662	Olfr365
NR_033595	Gm13498
NM_010274	Gpd2
NM_198294	Tanc1
NM_001099298	Scn2a1
BC172147	Scn9a
NM_001081548	Ubr3
NM_027352	Gorasp2
NM_001177602	Ak3l1
NM_001005343	Sp9
NM_053263	Hnrnpa3
NM_027091	Nup35
AF448788	Fsip2
NM_026934	Zc3h15
NM_207632	Olfr1118
NM_019758	Mtch2
NM_017368	Celf1
NM_001166597	Dgkz
NM_183106	Ttc17
NM_009020	Rag2
NM_212433	Fbxo3
NM_145529	Cstf3
ENSMUST00000079069	Gm6306
NM_023876	Elp4
NM_028260	Immp1l
ENSMUST00000099638	Dcdc5
NM_146404	Olfr1289
NM_133649	Slc12a6
NM_011941	Mapkbp1
NM_026891	Cdan1
NM_009461	Ubr1
NM_011354	Serf2
NM_025595	Mrpl51
NM_007993	Fbn1
NM_175154	Galk2
NM_029963	Mrps5
NM_178404	Zc3h6
NM_025395	Chchd5
NM_008980	Ptpra
NM_025922	Itpa
NM_009730	Atrn
NM_023117	Cdc25b
NM_028387	Macrod2
NR_033459	LOC668917
NM_001141965	Naa20
NM_175280	4930529M08Rik
XR_034866	A530006G24Rik
NM_009979	Cst9
NM_198326	Nsfl1c
NM_001009948	Nrsn2
NM_024214	Tomm20
NM_172860	Cbfa2t2
NM_199304	Zfp341
NM_010808	Mmp24
NM_008109	Gdf5
NM_001164215	Romo1
AY061882	Rbm39
NM_172674	Phf20
NM_011249	Rbl1
NM_175692	Snhg11
NM_026758	Mphosph6
NR_033569	9430021M05Rik
NM_012032	Serinc3
NM_001048227	Dbndd2
NM_146129	Pcif1
NM_001085495	Arfgef2
